"Publisher" "Journal.name" "Abbreviation" "ISSN" "URL" "Start.Date" "Citation.Style"
"1" "BioMed Central Ltd" "AIDS Research and Therapy" "AIDS Res Ther" "1742-6405" "http://www.aidsrestherapy.com" 2004 "BIOMEDCENTRAL"
"2" "Springer" "AMB Express" "AMB Express" "2191-0855" "http://www.amb-express.com" 2011 "BASIC_SPRINGER"
"3" "BioMed Central Ltd" "Acta Neuropathologica Communications" "Acta Neuropathol Commun" "2051-5960" "http://www.actaneurocomms.org" 2013 "BIOMEDCENTRAL"
"4" "BioMed Central Ltd" "Acta Veterinaria Scandinavica" "Acta Vet Scand" "1751-0147" "http://www.actavetscand.com" 2006 "BIOMEDCENTRAL"
"5" "BioMed Central Ltd" "Addiction Science & Clinical Practice" "Addict Sci Clin Pract" "1940-0640" "http://www.ascpjournal.org" 2011 "BIOMEDCENTRAL"
"6" "BioMed Central Ltd" "Agriculture & Food Security" "Agric Food Secur" "2048-7010" "http://www.agricultureandfoodsecurity.com" 2012 "BIOMEDCENTRAL"
"7" "BioMed Central Ltd" "Algorithms for Molecular Biology" "Algorithms Mol Biol" "1748-7188" "http://www.almob.org" 2006 "BIOMEDCENTRAL"
"8" "BioMed Central Ltd" "Allergy, Asthma & Clinical Immunology" "Allergy Asthma Clin Immunol" "1710-1492" "http://www.aacijournal.com" 2009 "BIOMEDCENTRAL"
"9" "BioMed Central Ltd" "Alzheimer's Research & Therapy" "Alzheimers Res Ther" "1758-9193" "http://alzres.com" 2009 "BIOMEDCENTRAL"
"10" "BioMed Central Ltd" "Animal Biotelemetry" "Anim Biotelem" "2050-3385" "http://www.animalbiotelemetry.com" 2012 "BIOMEDCENTRAL"
"11" "BioMed Central Ltd" "Annals of Clinical Microbiology and Antimicrobials" "Ann Clin Microbiol Antimicrob" "1476-0711" "http://www.ann-clinmicrob.com" 2002 "BIOMEDCENTRAL"
"12" "BioMed Central Ltd" "Annals of General Psychiatry" "Ann Gen Psychiatry" "1744-859X" "http://www.annals-general-psychiatry.com" 2002 "BIOMEDCENTRAL"
"13" "Springer" "Annals of Intensive Care" "Ann Intensive Care" "2110-5820" "http://www.annalsofintensivecare.com" 2011 "BIOMEDCENTRAL"
"14" "BioMed Central Ltd" "Annals of Occupational and Environmental Medicine" "Ann of Occup and Environ Med" "2052-4374" "http://www.aoemj.com" 2013 "BIOMEDCENTRAL"
"15" "BioMed Central Ltd" "Annals of Surgical Innovation and Research" "Ann Surg Innov Res" "1750-1164" "http://www.asir-journal.com" 2007 "BIOMEDCENTRAL"
"16" "BioMed Central Ltd" "Antimicrobial Resistance and Infection Control" "Antimicrob Resist Infect Control" "2047-2994" "http://www.aricjournal.com" 2011 "BIOMEDCENTRAL"
"17" "BioMed Central Ltd" "Aquatic Biosystems" "Aquat Biosyst" "2046-9063" "http://www.aquaticbiosystems.org" 2005 "BIOMEDCENTRAL"
"18" "BioMed Central Ltd" "Archives of Public Health" "Arch Public Health" "0778-7367" "http://www.archpublichealth.com" 1997 "BIOMEDCENTRAL"
"19" "BioMed Central Ltd" "Arthritis Research & Therapy" "Arthritis Res Ther" "1478-6354" "http://arthritis-research.com/" 1999 "BIOMEDCENTRAL"
"20" "BioMed Central Ltd" "Asia Pacific Family Medicine" "Asia Pac Fam Med" "1447-056X" "http://www.apfmj.com" 2002 "BIOMEDCENTRAL"
"21" "BioMed Central Ltd" "Australia and New Zealand Health Policy" "Aust N Z Health Policy" "1743-8462" "http://www.anzhealthpolicy.com" 2004 "BIOMEDCENTRAL"
"22" "BioMed Central Ltd" "Automated Experimentation" "Autom Exp" "1759-4499" "http://www.aejournal.net" 2009 "BIOMEDCENTRAL"
"23" "BioMed Central Ltd" "BMC Anesthesiology" "BMC Anesthesiol" "1471-2253" "http://www.biomedcentral.com/bmcanesthesiol/" 2001 "BIOMEDCENTRAL"
"24" "BioMed Central Ltd" "BMC Biochemistry" "BMC Biochem" "1471-2091" "http://www.biomedcentral.com/bmcbiochem/" 2000 "BIOMEDCENTRAL"
"25" "BioMed Central Ltd" "BMC Bioinformatics" "BMC Bioinformatics" "1471-2105" "http://www.biomedcentral.com/bmcbioinformatics/" 2000 "BIOMEDCENTRAL"
"26" "BioMed Central Ltd" "BMC Biology" "BMC Biol" "1741-7007" "http://www.biomedcentral.com/bmcbiol/" 2003 "BIOMEDCENTRAL"
"27" "BioMed Central Ltd" "BMC Biophysics" "BMC Biophys" "2046-1682" "http://www.biomedcentral.com/bmcbiophys" 2011 "BIOMEDCENTRAL"
"28" "BioMed Central Ltd" "BMC Biotechnology" "BMC Biotechnol" "1472-6750" "http://www.biomedcentral.com/bmcbiotechnol/" 2001 "BIOMEDCENTRAL"
"29" "BioMed Central Ltd" "BMC Cancer" "BMC Cancer" "1471-2407" "http://www.biomedcentral.com/bmccancer/" 2001 "BIOMEDCENTRAL"
"30" "BioMed Central Ltd" "BMC Cardiovascular Disorders" "BMC Cardiovasc Disord" "1471-2261" "http://www.biomedcentral.com/bmccardiovascdisord/" 2001 "BIOMEDCENTRAL"
"31" "BioMed Central Ltd" "BMC Cell Biology" "BMC Cell Biol" "1471-2121" "http://www.biomedcentral.com/bmccellbiol/" 2000 "BIOMEDCENTRAL"
"32" "BioMed Central Ltd" "BMC Chemical Biology" "BMC Chem Biol" "1472-6769" "http://www.biomedcentral.com/bmcchembiol/" 2001 "BIOMEDCENTRAL"
"33" "BioMed Central Ltd" "BMC Clinical Pathology" "BMC Clin Pathol" "1472-6890" "http://www.biomedcentral.com/bmcclinpathol/" 2001 "BIOMEDCENTRAL"
"34" "BioMed Central Ltd" "BMC Complementary and Alternative Medicine" "BMC Complement Altern Med" "1472-6882" "http://www.biomedcentral.com/bmccomplementalternmed/" 2001 "BIOMEDCENTRAL"
"35" "BioMed Central Ltd" "BMC Dermatology" "BMC Dermatol" "1471-5945" "http://www.biomedcentral.com/bmcdermatol/" 2001 "BIOMEDCENTRAL"
